Name, m_Q [keV], 1sl, 1su, 2sl, 2su, m_EMF [keV], 1sl, 1su, 2sl, 2su
Andromeda V, 1.225203, 0.915404, 1.508837, 0.574870, 1.861966, 3.284792, 2.644467, 3.855428, 1.778734, 4.748085
Aquarius Dwarf, 1.044913, 0.625182, 1.545089, 0.361816, 2.047351, 2.695354, 1.726186, 3.754703, 1.048958, 4.832258
Bootes Dwarf Spheroidal Galaxy, 1.251969, 0.957058, 1.569541, 0.598466, 1.933975, 3.122932, 2.594244, 3.686279, 1.679004, 4.477893 
Carina dSph, 1.225575, 0.689700, 1.822694, 0.381416, 2.185220, 3.063947, 1.791050, 4.360144, 1.015114, 5.213309
Cetus Dwarf Galaxy, 1.294163, 0.970726, 1.635405, 0.613755, 2.037867, 3.453562, 2.826858, 4.160696, 2.007532, 5.154994
Coma Dwarf Galaxy, 0.599414, 0.489215, 0.752504, 0.359349, 0.996540, 1.348781, 1.175112, 1.663179, 0.885092, 2.275956
CVn I dSph, 0.968654, 0.559121, 1.668725, 0.307919, 2.287392, 2.521491, 1.521478, 4.243809, 0.878673, 5.813495
Dra dSph, 0.975814, 0.599496, 1.361359, 0.350361, 1.723500, 2.352959, 1.530362, 3.078809, 0.925938, 3.881244
Fornax Dwarf Spheroidal, 0.801772, 0.564298, 1.081818, 0.346644, 1.301402, 2.087832, 1.516204, 2.763630, 0.943984, 3.401473
Hercules Dwarf Galaxy, 3.071394, 1.712936, 4.951560, 0.766637, 7.366827, 8.444337, 5.101316, 12.857755, 2.651494, 18.541500
Leo A, 1.259895, 0.929238, 1.645328, 0.617181, 2.113699, 3.197134, 2.505659, 4.002589, 1.782953, 5.184168
NGC 6822, 0.190343, 0.112368, 0.391769, 0.064555, 0.614813, 0.439151, 0.256330, 0.963746, 0.145410, 1.618612
PegDIG, 0.398304, 0.271357, 0.518844, 0.163097, 0.668478, 1.042921, 0.734041, 1.337502, 0.452132, 1.749286
Sculptor Dwarf Galaxy, 1.767212, 1.262249, 2.169552, 0.819836, 2.463576, 4.562855, 3.470384, 5.333576, 2.376466, 5.864807
Sextans dSph, 0.901622, 0.409543, 1.312771, 0.215919, 1.600582, 2.358999, 1.071764, 3.313751, 0.569674, 4.049504
Sgr dIG, 1.123976, 0.561329, 1.595040, 0.246589, 2.222813, 2.872287, 1.514923, 3.733869, 0.681142, 5.134155
UMi Galaxy, 1.886494, 1.134251, 2.610104, 0.558499, 3.220944, 4.759525, 3.072335, 5.992665, 1.574418, 6.923074
WLM Galaxy, 0.413615, 0.260354, 0.600323, 0.169230, 0.786573, 1.046321, 0.691461, 1.467004, 0.471625, 1.943515
Z 64-73, 1.205084, 0.917226, 1.458488, 0.580151, 1.702723, 3.141063, 2.546489, 3.614556, 1.700633, 4.196149
Z 126-111, 1.675490, 1.094263, 2.162382, 0.632936, 2.619640, 4.316711, 3.000453, 5.166667, 1.875650, 5.940151
